Decrease,Distance from Center,Mins to Event
1.538,1956.874,60
22.727,1729.378,60
1.667,2344.508,60
1.538,1959.016,60
1.538,1610.230,60
1.786,2161.377,60
5.455,1735.666,60
1.639,1329.509,60
1.786,2063.398,60
1.639,1612.009,60
1.639,1163.448,60
1.639,321.223,60
1.818,2062.739,60
1.639,1611.166,60
1.639,316.964,60
1.818,2159.491,60
1.613,713.493,60
3.226,959.393,60
1.786,1606.006,60
1.786,1322.281,60
1.786,2591.156,60
1.786,1952.007,60
5.882,2155.562,90
5.882,2056.656,90
5.882,1731.643,90
5.882,1606.829,90
5.882,1327.410,90
5.882,1159.857,90
5.882,967.848,90
1.667,2332.380,90
1.667,2894.949,120
1.667,2592.661,120
20.588,2155.562,120
20.588,2056.656,120
1.667,2594.824,120
20.588,1731.643,120
20.588,1606.829,120
1.667,2344.508,120
20.588,1327.410,120
20.588,1159.857,120
20.588,967.848,120
1.613,321.223,120
1.613,316.964,120
1.923,2886.772,120
3.077,2340.327,150
3.077,2252.597,150
3.077,1956.874,150
2.941,1731.643,150
3.077,1959.016,150
3.077,1610.230,150
2.941,1159.857,150
2.941,967.848,150
1.754,1606.006,150
1.754,2591.156,150
1.754,1952.007,150
1.639,321.223,180
1.639,316.964,180
1.587,713.493,180
1.587,959.393,180
3.077,2340.327,210
3.077,2252.597,210
1.563,1956.874,210
1.563,1959.016,210
3.077,1610.230,210
5.882,2155.562,240
2.941,2056.656,240
5.882,1731.643,240
2.941,1606.829,240
5.882,1327.410,240
2.941,1159.857,240
1.613,1329.509,240
5.882,967.848,240
1.613,1612.009,240
1.613,1163.448,240
3.333,722.999,240
1.613,1611.166,240
1.667,1152.824,240
1.667,1726.142,240
1.667,1600.081,240
1.667,2587.940,240
1.667,2149.880,240
6.250,2056.040,-120
6.250,2153.797,-120
6.250,2337.619,-120
33.333,2891.007,-120
22.727,1953.531,-120
18.182,2248.532,-120
9.091,2590.287,-120
3.226,1959.016,-120
54.545,1324.385,-120
59.091,1606.074,-120
10.526,1605.216,-120
5.556,2056.767,-120
1.613,713.493,-120
3.175,959.393,-120
1.724,1319.244,-120
5.556,1601.837,-120
36.364,1950.752,-120
27.273,2336.464,-120
35.294,1723.868,-120
25.926,1948.655,-120
8.333,2586.611,-120
35.294,2050.083,-120
15.789,2332.380,-120
8.333,2584.509,-120
10.000,2886.772,-120
1.587,2340.327,-90
47.368,2589.238,-90
25.000,2891.007,-90
1.587,2252.597,-90
1.587,1956.874,-90
36.364,1606.015,-90
36.364,1729.378,-90
36.364,1953.531,-90
27.273,2248.532,-90
36.364,2590.287,-90
1.587,1959.016,-90
1.587,1610.230,-90
27.273,1324.385,-90
27.273,1606.074,-90
29.167,963.633,-90
29.167,1324.397,-90
15.789,1730.185,-90
15.789,2155.720,-90
29.167,717.305,-90
29.167,1157.560,-90
15.789,1606.063,-90
15.789,2057.427,-90
20.000,1605.216,-90
20.000,2056.767,-90
3.571,1606.006,-90
3.571,1322.281,-90
3.390,1153.984,-90
3.390,1152.824,-90
5.263,2591.156,-90
3.571,2248.371,-90
5.263,1952.007,-90
3.390,1726.142,-90
1.724,1600.898,-90
1.724,1600.081,-90
1.724,2587.940,-90
3.390,2335.096,-90
3.390,2149.880,-90
1.724,2050.701,-90
12.281,2894.949,-60
12.281,2592.661,-60
8.065,2340.327,-60
9.091,2155.562,-60
9.091,2056.656,-60
12.281,2594.824,-60
8.065,2252.597,-60
8.065,1956.874,-60
9.091,1731.643,-60
9.091,1606.829,-60
26.667,2248.532,-60
26.667,2590.287,-60
12.281,2344.508,-60
8.065,1959.016,-60
8.065,1610.230,-60
9.091,1327.410,-60
9.091,1159.857,-60
1.818,1735.666,-60
9.091,967.848,-60
1.695,722.999,-60
1.818,2062.739,-60
1.695,1162.280,-60
20.000,1605.216,-60
20.000,2056.767,-60
1.818,2159.491,-60
44.444,713.493,-60
44.444,959.393,-60
67.241,1319.244,-60
23.810,1950.752,-60
33.333,2336.464,-60
73.077,2586.611,-60
73.077,2584.509,-60
70.213,2886.772,-60
1.724,2894.949,-30
1.538,2340.327,-30
14.706,2155.562,-30
11.765,2056.656,-30
1.724,2594.824,-30
1.538,2252.597,-30
3.077,1956.874,-30
14.706,1731.643,-30
11.765,1606.829,-30
22.727,1606.015,-30
22.727,1953.531,-30
1.538,1959.016,-30
3.077,1610.230,-30
11.765,1327.410,-30
14.706,1159.857,-30
27.273,1324.385,-30
27.273,1606.074,-30
26.087,2339.371,-30
5.455,1735.666,-30
3.333,1329.509,-30
11.765,967.848,-30
20.833,963.633,-30
20.833,1324.397,-30
5.000,1612.009,-30
3.333,1163.448,-30
3.448,722.999,-30
20.833,717.305,-30
20.833,1157.560,-30
5.455,2062.739,-30
5.000,1611.166,-30
5.172,1162.280,-30
1.754,321.247,-30
20.000,715.408,-30
5.455,2159.491,-30
1.754,1326.440,-30
1.754,963.627,-30
1.754,715.393,-30
23.810,713.493,-30
20.635,959.393,-30
1.754,2341.609,-30
1.754,1955.545,-30
67.797,1319.244,-30
29.630,1948.655,-30
73.077,2586.611,-30
73.077,2584.509,-30
72.549,2886.772,-30
8.824,2155.562,120
36.667,2891.007,120
5.882,1731.643,120
8.824,1606.829,120
5.882,1327.410,120
5.882,1159.857,120
5.882,1158.703,120
5.882,721.069,120
5.882,719.185,120
8.000,717.305,120
1.887,715.408,120
1.887,1156.385,120
1.695,2056.767,120
28.302,1326.440,120
28.302,963.627,120
3.636,715.393,120
2.128,713.493,120
2.128,959.393,120
2.128,1321.314,120
1.695,1727.827,120
1.695,2153.828,120
17.308,1606.006,120
28.302,1322.281,120
2.128,1153.984,120
2.128,1152.824,120
2.128,1319.244,120
2.128,1601.837,120
1.695,1950.752,120
6.250,2248.371,120
2.273,1600.898,120
2.128,1600.081,120
2.128,1723.868,120
1.818,2890.722,120
1.818,2587.941,120
1.786,2149.881,120
10.256,2050.083,120
10.256,2148.111,120
10.256,2332.380,120
12.500,0.000,150
25.000,2891.007,150
12.500,967.848,150
12.500,722.999,150
12.500,325.450,150
12.500,321.223,150
1.961,717.305,150
12.500,721.117,150
12.500,321.247,150
12.500,316.964,150
1.754,715.393,150
1.667,2056.767,180
1.667,1727.827,180
1.923,1733.316,210
1.923,1955.545,210
1.818,2890.722,210
3.509,2149.881,210
5.882,0.000,240
5.882,967.848,240
5.882,722.999,240
5.882,325.450,240
5.882,321.223,240
5.882,721.117,240
5.882,321.247,240
5.882,316.964,240
25.862,2589.238,-120
25.000,2594.824,-120
25.000,2252.598,-120
37.500,1606.015,-120
37.500,1324.385,-120
44.000,1954.233,-120
33.962,2339.371,-120
37.500,963.633,-120
78.723,2155.720,-120
78.723,717.305,-120
58.974,1157.560,-120
92.157,2057.427,-120
6.667,2062.739,-120
78.846,715.408,-120
78.846,1156.385,-120
46.667,2056.767,-120
12.000,2159.491,-120
56.757,713.493,-120
56.757,959.393,-120
56.757,1321.314,-120
46.667,1727.827,-120
44.828,2153.828,-120
11.111,2341.609,-120
56.757,1153.984,-120
56.757,1152.824,-120
56.757,1319.244,-120
56.757,1601.837,-120
44.828,1950.752,-120
27.273,2336.464,-120
11.111,2591.156,-120
12.500,2248.371,-120
34.884,1600.898,-120
56.757,1600.081,-120
56.757,1723.868,-120
27.273,1948.655,-120
27.273,2244.297,-120
20.000,2586.611,-120
5.263,2149.881,-120
5.172,2050.701,-120
25.641,2050.083,-120
25.641,2148.111,-120
25.641,2332.380,-120
20.000,2584.509,-120
20.000,2886.772,-120
20.000,2594.824,-90
20.000,2252.598,-90
25.000,2590.287,-90
36.585,1954.233,-90
54.054,2155.720,-90
32.000,717.305,-90
51.282,1157.560,-90
66.667,2057.427,-90
8.696,1611.166,-90
8.696,1162.280,-90
25.000,715.408,-90
20.000,1156.385,-90
57.447,2056.767,-90
58.621,2159.491,-90
8.696,713.493,-90
8.696,959.393,-90
8.696,1321.314,-90
57.447,1727.827,-90
53.659,2153.828,-90
54.000,2341.609,-90
8.696,1153.984,-90
8.696,1152.824,-90
8.696,1319.244,-90
8.696,1601.837,-90
53.659,1950.752,-90
53.333,2336.464,-90
54.000,2591.156,-90
65.625,2248.371,-90
46.154,1600.898,-90
8.696,1600.081,-90
8.696,1723.868,-90
53.333,1948.655,-90
53.333,2244.297,-90
51.429,2586.611,-90
1.852,2149.881,-90
1.754,2050.701,-90
25.641,2050.083,-90
25.641,2148.111,-90
25.641,2332.380,-90
51.429,2584.509,-90
51.429,2886.772,-90
11.765,0.000,-60
4.348,1956.874,-60
4.348,2344.509,-60
4.348,2161.377,-60
11.765,325.450,-60
33.333,717.305,-60
11.765,321.247,-60
11.765,316.964,-60
66.667,715.408,-60
66.667,1156.385,-60
3.774,2159.491,-60
47.368,713.493,-60
52.632,959.393,-60
47.368,1321.314,-60
47.368,1153.984,-60
52.632,1152.824,-60
52.381,1319.244,-60
52.381,1601.837,-60
45.455,1600.898,-60
47.368,1600.081,-60
47.368,1723.868,-60
42.593,2890.722,-60
42.593,2587.941,-60
65.000,2590.287,-30
58.537,1954.233,-30
32.075,2339.371,-30
25.926,2155.720,-30
22.727,1612.009,-30
22.727,1163.448,-30
2.083,717.305,-30
1.923,715.393,-30
8.511,1606.006,-30
41.860,1600.898,-30
3.333,2586.611,-30
1.852,2890.722,-30
1.852,2587.941,-30
3.333,2584.509,-30
3.333,2886.772,-30
11.765,2594.824,0
6.250,2252.598,0
20.833,1956.874,0
23.077,2590.287,0
20.833,2344.509,0
24.000,1959.016,0
51.220,1954.233,0
29.630,2161.377,0
20.755,2155.720,0
2.083,717.305,0
32.000,2062.739,0
15.094,715.408,0
15.094,1156.385,0
10.909,2159.491,0
9.615,1326.440,0
9.615,963.627,0
3.846,715.393,0
41.860,713.493,0
41.860,959.393,0
41.860,1321.314,0
10.256,2341.609,0
7.692,1606.006,0
9.615,1322.281,0
41.860,1153.984,0
41.860,1152.824,0
41.860,1319.244,0
41.860,1601.837,0
10.256,2591.156,0
25.000,1952.007,0
40.000,1600.898,0
41.860,1600.081,0
41.860,1723.868,0
3.704,2890.722,0
3.704,2587.941,0
1.667,2886.772,0
12.500,0.000,30
20.833,2891.007,30
10.526,2594.824,30
10.526,2252.598,30
21.951,1954.233,30
12.500,967.848,30
18.182,2155.720,30
12.500,722.999,30
12.500,325.450,30
12.500,321.223,30
36.170,717.305,30
7.692,1611.166,30
3.846,1162.280,30
12.500,721.117,30
12.500,321.247,30
12.500,316.964,30
60.377,715.408,30
60.377,1156.385,30
3.571,2159.491,30
35.135,713.493,30
35.135,959.393,30
35.135,1321.314,30
4.762,2341.609,30
35.135,1153.984,30
35.135,1152.824,30
35.135,1319.244,30
35.135,1601.837,30
4.762,2591.156,30
32.353,1600.898,30
35.135,1600.081,30
35.135,1723.868,30
1.887,2890.722,30
1.887,2587.941,30
7.692,0.000,60
21.875,2894.949,60
21.875,2340.327,60
34.483,2594.824,60
34.483,2252.598,60
40.000,2590.287,60
12.500,1954.233,60
7.692,967.848,60
21.429,2155.720,60
7.692,722.999,60
7.692,325.450,60
7.692,321.223,60
8.889,717.305,60
22.222,1611.166,60
22.222,1162.280,60
7.692,721.117,60
